Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Brandon Nimmo","NYM",229,0.15720524,0.20524017,0.76595745,0.31216931,0.42982456,0.51322751,0.94305207,0.2010582,0.38059701,45.72149039750342,17.547324701597738,0.4088543101883771,163.3301730469842,12927
"Total","Michael Perez","2 Tms",134,0.04477612,0.34328358,0.13043478,0.12,0.17164179,0.248,0.41964179,0.128,0.14473684,1.5595305821231813,-14.796655420369724,0.18236157096418223,12.4562540610977,12977
"Total","Jackie Bradley Jr.","2 Tms",286,0.05594406,0.26923077,0.20779221,0.22137405,0.28321678,0.34732824,0.63054502,0.12595419,0.2849162,26.240575257625956,-8.427516471657377,0.2772074952460172,72.17105572045625,12984
"Total","Josh Bell","2 Tms",269,0.07063197,0.26022305,0.27142857,0.24291498,0.30111524,0.40890688,0.71002212,0.1659919,0.29341317,30.244651067214456,-2.5575091362424196,0.304532460924378,89.93769255834992,13145
"Total","Jorge Polanco","MIN",289,0.08650519,0.183391,0.47169811,0.22007722,0.29268293,0.31274131,0.60542424,0.09266409,0.25742574,24.814993242549566,-10.390514780950877,0.27210150466978755,69.95603605791231,13152
"Total","Max Muncy","LAD",308,0.17532468,0.24350649,0.72,0.2195122,0.37012987,0.44308943,0.8132193,0.22357723,0.24683544,46.540549255726845,9.12870229017547,0.3524545267863636,126.12617866868558,13301
"Total","Ildemaro Vargas","4 Tms",47,0.04255319,0.17021277,0.25,0.22727273,0.25531915,0.34090909,0.59622824,0.11363636,0.27027027,3.4406148693838894,-2.2537148021778286,0.2552275987381631,60.78703385767589,13324
"Total","Jake Lamb","3 Tms",122,0.1147541,0.28688525,0.4,0.19811321,0.30327869,0.35849057,0.66176926,0.16037736,0.25373134,12.773966951424285,-2.156293460970717,0.29566251694178974,87.49279912622816,13329
"Total","Omar Narvaez","MIL",210,0.11428571,0.22857143,0.5,0.24725275,0.34285714,0.37362637,0.71648351,0.12637362,0.30769231,26.192645107429442,0.7609217511824946,0.3206032131399427,100.47158281862248,13338
"Total","Tyler Naquin","2 Tms",262,0.0648855,0.25572519,0.25373134,0.25726141,0.30916031,0.48547718,0.79463749,0.22821577,0.3006135,36.47289436446617,4.86216011779497,0.3374570644678284,111.15887976221175,13359
"Total","Dwight Smith Jr.","BAL",63,0.0952381,0.25396825,0.375,0.21818182,0.3015873,0.36363636,0.66522366,0.14545454,0.26315789,6.101015498047461,-1.807275275582681,0.28576042959767,78.50604266518071,13473
"Total","Jose  Ramirez","CLE",306,0.11437908,0.16993464,0.67307692,0.25095057,0.34640523,0.53231939,0.87872462,0.28136882,0.24102564,51.59701986803108,14.248593563273488,0.3725620015384325,136.15314788502803,13510
"Total","Roman Quinn","PHI",114,0.06140351,0.35964912,0.17073171,0.22,0.30973451,0.3,0.60973451,0.08,0.37288136,10.224411335160864,-3.7820371870492564,0.2789624771185681,72.37602049182074,13546
"Total","Jesse Winker","CIN",292,0.11643836,0.20547945,0.56666667,0.31620553,0.40410959,0.64031621,1.0444258,0.32411068,0.3372093,64.93108581434142,29.617044214710106,0.43922002919732706,176.5842657396984,13590
"Total","Mallex Smith","SEA",43,0.04651163,0.25581395,0.18181818,0.14634146,0.18604651,0.19512195,0.38116846,0.04878049,0.2,0.043747342666033445,-5.353974931398985,0.17218442295872888,4.582355191720805,13608
"Total","Ketel Marte","ARI",192,0.046875,0.13541667,0.34615385,0.26136364,0.30208333,0.36931818,0.67140151,0.10795454,0.28476821,19.491089503184433,-4.154680204674131,0.2924372907727957,80.1409453243163,13613
"Total","Jeimer Candelario","DET",318,0.09748428,0.25786164,0.37804878,0.26315789,0.33962264,0.42807018,0.76769282,0.16491229,0.34020619,43.976760512436286,5.452590203131098,0.3353242707327477,112.35522578430488,13621
"Total","Corey Seager","LAD",268,0.10820896,0.1380597,0.78378378,0.29237288,0.37313433,0.52966102,0.90279535,0.23728814,0.30319149,47.79012333615515,15.140296727556917,0.3831823445884476,146.10029900297158,13624
"Total","David Dahl","2 Tms",170,0.04117647,0.26470588,0.15555556,0.22641509,0.26035503,0.37106918,0.63142421,0.14465409,0.28571429,14.626812226871138,-5.78377413024556,0.27253771463089443,65.86958472960325,13744
"Total","Adalberto Mondesi","KCR",188,0.04787234,0.32978723,0.14516129,0.24571429,0.28648649,0.34285714,0.62934363,0.09714285,0.36936937,16.754239548506664,-6.755753781137538,0.27612997970065556,70.51750878376326,13769
"Total","Joey Wendle","TBR",274,0.05109489,0.17518248,0.29166667,0.31075697,0.36131387,0.53784861,0.89916248,0.22709164,0.34871795,47.813392554301366,14.562291358489144,0.38080400754423704,148.67693340872913,13853
"Total","Anthony Bemboom","LAA",52,0.09615385,0.23076923,0.41666667,0.24444444,0.33333333,0.4,0.73333333,0.15555556,0.29032258,6.817952034806049,0.4244997853386756,0.323251675156986,107.10338936784942,13854
"Total","Tyler Heineman","SFG",40,0.025,0.125,0.2,0.17142857,0.23684211,0.2,0.43684211,0.02857143,0.2,1.1627456350643472,-3.858391364065902,0.2054323114846882,25.973463123258846,13897
"Total","Rio Ruiz","BAL",254,0.0984252,0.24409449,0.40322581,0.18666667,0.26984127,0.36,0.62984127,0.17333333,0.21290323,22.426104900726564,-8.66289500396561,0.27430566207346213,72.22581576784023,14103
"Total","Joey Gallo","TEX",272,0.16911765,0.30882353,0.54761905,0.19282511,0.33823529,0.34977578,0.68801107,0.15695067,0.26153846,31.658341994868053,-1.3685075208680486,0.3089474831815103,96.12937058487424,14128
"Total","Daniel Vogelbach","3 Tms",223,0.14798206,0.21524664,0.6875,0.22631579,0.34080717,0.40526316,0.74607033,0.17894737,0.2556391,29.152377868595146,2.070914874377272,0.32679957394146814,105.5376871437002,14130
"Total","Andrew Velazquez","BAL",54,0.14814815,0.31481481,0.47058824,0.11627907,0.25490196,0.13953488,0.39443684,0.02325581,0.19230769,1.4639790944312132,-5.314555854394623,0.203111681283689,21.932984375377153,14196
"Total","Wilmer Difo","2 Tms",71,0.07042254,0.23943662,0.29411765,0.24615385,0.29577465,0.36923077,0.66500542,0.12307692,0.3125,7.1272706507766985,-1.2580791816984864,0.2901824494482766,83.02950778675678,14320
"Total","Matt Olson","OAK",306,0.14052288,0.22875817,0.61428571,0.22692308,0.33660131,0.49230769,0.828909,0.26538461,0.22674419,46.151370872229094,8.820814680725094,0.35179046691447596,128.9946238526849,14344
"Total","Raimel Tapia","COL",296,0.08783784,0.15540541,0.56521739,0.29007634,0.35153584,0.39694656,0.7484824,0.10687022,0.3271028,38.78759551604553,2.9625051598743948,0.3269364166095904,91.23253115345916,14350
"Total","Ronald Guzman","TEX",81,0.08641975,0.2962963,0.29166667,0.22972973,0.2962963,0.43243243,0.72872873,0.2027027,0.26666667,9.894534413153975,-0.14817721730962452,0.3143180211385091,99.04171947465349,14388
"Total","Jake Cave","MIN",158,0.06329114,0.32278481,0.19607843,0.21985816,0.29936306,0.38297872,0.68234178,0.16312056,0.31395349,17.244423269325207,-1.972548969990303,0.29993216095456654,88.9935888205225,14477
"Total","Anthony Santander","BAL",199,0.05025126,0.14572864,0.34482759,0.27717391,0.31818182,0.56521739,0.88339921,0.28804348,0.26896552,32.2961523816861,7.9057095483816955,0.36341060858506424,132.9198099064933,14551
"Total","Nomar Mazara","2 Tms",207,0.07246377,0.26086957,0.27777778,0.2010582,0.2705314,0.28571429,0.55624569,0.08465609,0.26515152,14.314865107283826,-10.918974106564287,0.2518944423555752,57.163300419716116,14553
"Total","Franchy Cordero","2 Tms",121,0.04958678,0.29752066,0.16666667,0.2,0.23966942,0.35652174,0.59619116,0.15652174,0.26315789,9.146460723508671,-5.25619371570222,0.2576354131225712,58.81935167704172,14567
"Total","Tzu-Wei Lin","BOS",50,0.02,0.28,0.07142857,0.17391304,0.1875,0.19565217,0.38315217,0.02173913,0.24242424,-0.081186123423789,-6.3576073723366004,0.16905404378970465,-5.815698250102191,14678
"Total","Harold Castro","DET",137,0.08029197,0.17518248,0.45833333,0.344,0.39705882,0.384,0.78105882,0.04,0.42574257,20.41885182761503,3.998807532125242,0.34881234431968017,121.94192733221145,14691
"Total","Brett Phillips","2 Tms",127,0.13385827,0.34645669,0.38636364,0.22018349,0.32283465,0.40366972,0.72650437,0.18348623,0.32258065,15.665029952128952,0.4019842835269607,0.3182526526488657,105.2338512515266,14735
"Total","Mike Yastrzemski","SFG",277,0.13357401,0.24548736,0.54411765,0.27350427,0.38628159,0.53846154,0.92474313,0.26495727,0.34193548,51.02100516478215,17.411188807288752,0.39111667565810376,150.37851692326825,14854
