P,P,C,1B,2B,3B,SS,OF,OF,OF,OF,Salary,Proj
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Harold Castro (18306075),Brendan Rodgers (18305856),Brian Goodwin (18306054),Yordan Alvarez (18306219),Taylor Ward (18306123),49400,138.96730991368824
Carlos Rodon (18305746),Jacob deGrom (18305745),Yermin Mercedes (18306262),Keston Hiura (18305914),Jace Peterson (18305910),Ernie Clement (18306213),Andrelton Simmons (18306089),Starling Marte (18305866),Joey Gallo (18305848),Brian Goodwin (18306054),49400,138.93368873431515
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),Ramon Urias (18306043),Cedric Mullins (18305926),Robbie Grossman (18305989),Brian Goodwin (18306054),46600,138.9021423134481
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Jonathan Schoop (18305790),Jace Peterson (18305910),Andy Ibanez (18306159),Harold Castro (18306075),Joey Gallo (18305848),Brian Goodwin (18306054),Hunter Dozier (18306112),48500,138.88055731686433
Jacob deGrom (18305745),Carlos Rodon (18305746),Jorge Alfaro (18306142),Jared Walsh (18305788),Jace Peterson (18305910),Hunter Dozier (18306112),Harold Castro (18306075),Joey Gallo (18305848),Robbie Grossman (18305989),Brian Goodwin (18306054),50000,138.86416439758122
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Keston Hiura (18305914),Jace Peterson (18305910),Ernie Clement (18306213),Andrelton Simmons (18306089),Brian Goodwin (18306054),Joey Gallo (18305848),Harold Ramirez (18306124),46400,138.85573825484406
Carlos Rodon (18305746),Jacob deGrom (18305745),Jake Rogers (18306011),Ty France (18306006),Jace Peterson (18305910),Maikel Franco (18305973),J.P. Crawford (18305927),Brian Goodwin (18306054),Andrew Vaughn (18306086),Joey Gallo (18305848),49700,138.83065575617414
Carlos Rodon (18305746),Jacob deGrom (18305745),Jorge Alfaro (18306142),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),J.P. Crawford (18305927),Wil Myers (18305944),Joey Gallo (18305848),Brian Goodwin (18306054),49100,138.80672167087596
Jacob deGrom (18305745),Carlos Rodon (18305746),Jonah Heim (18306108),Bobby Dalbec (18306096),Jace Peterson (18305910),Anthony Rendon (18305871),Brendan Rodgers (18305856),Harold Ramirez (18306124),Joey Gallo (18305848),Brian Goodwin (18306054),49900,138.78460215990762
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Patrick Wisdom (18305861),Jace Peterson (18305910),Luis Urias (18305817),Hanser Alberto (18306170),Brian Goodwin (18306054),Joey Gallo (18305848),Eli White (18306056),49900,138.77846170591704
Jacob deGrom (18305745),Carlos Rodon (18305746),Ryan Jeffers (18305975),Christian Walker (18306036),Jace Peterson (18305910),Ernie Clement (18306213),Zack Short (18306151),Joey Gallo (18305848),Brian Goodwin (18306054),Cedric Mullins (18305926),47900,138.77073324679677
Carlos Rodon (18305746),Jacob deGrom (18305745),Austin Hedges (18306169),Bobby Bradley (18305858),Jace Peterson (18305910),Andy Ibanez (18306159),Brendan Rodgers (18305856),Myles Straw (18306014),Brian Goodwin (18306054),Joey Gallo (18305848),49900,138.7686697504206
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ty France (18306006),Jace Peterson (18305910),Jeimer Candelario (18305953),Harold Castro (18306075),Joey Gallo (18305848),Brian Goodwin (18306054),Hunter Dozier (18306112),47400,138.76054700283262
Carlos Rodon (18305746),Jacob deGrom (18305745),James McCann (18305951),Bobby Bradley (18305858),Jace Peterson (18305910),Jonathan Villar (18306023),Harold Castro (18306075),Brian Goodwin (18306054),Joey Gallo (18305848),Bradley Zimmer (18306180),49300,138.75569501771935
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Matt Olson (18305822),Jace Peterson (18305910),Ernie Clement (18306213),Dansby Swanson (18305899),Brian Goodwin (18306054),Joey Gallo (18305848),Jorge Soler (18306040),49500,138.74354195976062
Jacob deGrom (18305745),Carlos Rodon (18305746),Daulton Varsho (18306082),Bobby Bradley (18305858),Jace Peterson (18305910),Kyle Seager (18305934),Josh Rojas (18305991),Brian Goodwin (18306054),Joey Gallo (18305848),Taylor Ward (18306123),50000,138.74332541323267
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Patrick Wisdom (18305861),Ramon Urias (18306043),Brian Goodwin (18306054),Taylor Ward (18306123),Michael Brantley (18305895),48600,138.72026797070387
Carlos Rodon (18305746),Jacob deGrom (18305745),Ryan Jeffers (18305975),Keston Hiura (18305914),Jace Peterson (18305910),Ernie Clement (18306213),Luis Garcia (18306306),Brian Goodwin (18306054),Joey Gallo (18305848),Adam Duvall (18305945),48900,138.70121011428844
Carlos Rodon (18305746),Jacob deGrom (18305745),William Contreras (18305988),Paul Goldschmidt (18305830),Jace Peterson (18305910),Luis Arraez (18305994),Ramon Urias (18306043),Bradley Zimmer (18306180),Brian Goodwin (18306054),Joey Gallo (18305848),49800,138.68436939612252
Carlos Rodon (18305746),Jacob deGrom (18305745),Jorge Alfaro (18306142),Miguel Cabrera (18306022),Jace Peterson (18305910),Asdrubal Cabrera (18306095),J.P. Crawford (18305927),Brian Goodwin (18306054),Joey Gallo (18305848),Myles Straw (18306014),48400,138.67390695291783
